MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS,registration_key,date_reg,type,colour,fuel,state
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239.0,AUDI Q5,2025-01-28,jip,blue,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239.0,AUDI Q5,2025-02-26,jip,white,diesel,Rakan Niaga
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239.0,AUDI Q5,2025-03-20,jip,white,petrol,Rakan Niaga
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239.0,AUDI Q5,2025-03-26,jip,black,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258.0,AUDI Q5,2025-01-16,jip,black,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258.0,AUDI Q5,2025-01-16,jip,blue,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258.0,AUDI Q5,2025-01-17,jip,grey,petrol,Rakan Niaga
2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258.0,AUDI Q5,2025-01-23,jip,grey,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258.0,AUDI Q5,2025-01-28,jip,blue,petrol,W.P. Kuala Lumpur
2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258.0,AUDI Q5,2025-02-26,jip,white,diesel,Rakan Niaga
2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258.0,AUDI Q5,2025-03-20,jip,white,petrol,Rakan Niaga
2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258.0,AUDI Q5,2025-03-26,jip,black,petrol,W.P. Kuala Lumpur
2014,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304.0,AUDI Q7,2025-04-30,jip,white,petrol,Rakan Niaga
2014,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304.0,AUDI Q7,2025-04-30,jip,grey,petrol,Rakan Niaga
2014,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304.0,AUDI Q7,2025-04-30,jip,blue,petrol,Rakan Niaga
2014,AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336.0,AUDI R8,2025-02-06,motokar,green,petrol,W.P. Kuala Lumpur
2014,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407.0,AUDI R8,2025-02-06,motokar,green,petrol,W.P. Kuala Lumpur
2014,AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.8,11.3,15.4,18,354.0,AUDI R8,2025-02-06,motokar,green,petrol,W.P. Kuala Lumpur
2014,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409.0,AUDI R8,2025-02-06,motokar,green,petrol,W.P. Kuala Lumpur
2014,AUDI,RS7,MID-SIZE,4.0,8,AS8,Z,15.3,9.3,12.6,22,290.0,AUDI RS7,2025-02-28,motokar,black,petrol,Pulau Pinang
2014,AUDI,S8,MID-SIZE,4.0,8,AS8,Z,15.4,9.8,12.9,22,297.0,AUDI S8,2025-04-28,motokar,white,petrol,Rakan Niaga
2014,AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.9,10.1,12.7,22,292.0,AUDI SQ5,2025-03-20,jip,white,petrol,Rakan Niaga
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,15.4,9.8,12.9,22,297.0,BENTLEY CONTINENTAL GT,2025-01-09,motokar,grey,petrol,W.P. Kuala Lumpur
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,15.4,9.8,12.9,22,297.0,BENTLEY CONTINENTAL GT,2025-01-20,motokar,white,petrol,W.P. Kuala Lumpur
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356.0,BENTLEY CONTINENTAL GT,2025-01-09,motokar,grey,petrol,W.P. Kuala Lumpur
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356.0,BENTLEY CONTINENTAL GT,2025-01-20,motokar,white,petrol,W.P. Kuala Lumpur
2014,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,424.5,BENTLEY MULSANNE,2025-03-13,motokar,black,petrol,W.P. Kuala Lumpur
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12.0,24,276.0,CHEVROLET CORVETTE,2025-02-26,motokar,blue,petrol,W.P. Kuala Lumpur
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258.0,CHEVROLET CORVETTE,2025-02-26,motokar,blue,petrol,W.P. Kuala Lumpur
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179.0,CHEVROLET CRUZE,2025-02-12,motokar,white,petrol,Sarawak
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179.0,CHEVROLET CRUZE,2025-02-12,motokar,white,petrol,Sarawak
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202.0,CHEVROLET CRUZE,2025-02-12,motokar,white,petrol,Sarawak
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189.0,CHEVROLET CRUZE,2025-02-12,motokar,white,petrol,Sarawak
2014,DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258.0,DODGE CHALLENGER,2025-01-27,motokar,yellow,petrol,Sarawak
2014,DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258.0,DODGE CHALLENGER,2025-04-10,motokar,grey,petrol,Selangor
2014,DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10.0,13.1,22,301.0,DODGE CHALLENGER,2025-01-27,motokar,yellow,petrol,Sarawak
2014,DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10.0,13.1,22,301.0,DODGE CHALLENGER,2025-04-10,motokar,grey,petrol,Selangor
2014,FORD,FOCUS,COMPACT,2.0,4,M6,X,10.2,7.4,8.9,32,205.0,FORD FOCUS,2025-03-06,motokar,silver,petrol,Johor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-01-17,motokar,blue,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-02-05,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-02-26,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-03-03,motokar,red,petrol,Pulau Pinang
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-03-11,motokar,silver,petrol,Perak
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-03-17,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-03-28,motokar,black,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-03-28,motokar,red,petrol,Johor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-04-21,motokar,yellow,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235.0,FORD MUSTANG,2025-04-24,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-01-17,motokar,blue,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-02-05,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-02-26,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-03-03,motokar,red,petrol,Pulau Pinang
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-03-11,motokar,silver,petrol,Perak
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-03-17,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-03-28,motokar,black,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-03-28,motokar,red,petrol,Johor
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-04-21,motokar,yellow,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244.0,FORD MUSTANG,2025-04-24,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-01-17,motokar,blue,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-02-05,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-02-26,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-03-03,motokar,red,petrol,Pulau Pinang
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-03-11,motokar,silver,petrol,Perak
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-03-17,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-03-28,motokar,black,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-03-28,motokar,red,petrol,Johor
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-04-21,motokar,yellow,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264.0,FORD MUSTANG,2025-04-24,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-01-17,motokar,blue,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-02-05,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-02-26,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-03-03,motokar,red,petrol,Pulau Pinang
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-03-11,motokar,silver,petrol,Perak
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-03-17,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-03-28,motokar,black,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-03-28,motokar,red,petrol,Johor
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-04-21,motokar,yellow,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292.0,FORD MUSTANG,2025-04-24,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-01-17,motokar,blue,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-02-05,motokar,blue,petrol,W.P. Kuala Lumpur
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-02-26,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-03-03,motokar,red,petrol,Pulau Pinang
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-03-11,motokar,silver,petrol,Perak
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-03-17,motokar,black,petrol,Selangor
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-03-28,motokar,black,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-03-28,motokar,red,petrol,Johor
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-04-21,motokar,yellow,petrol,Rakan Niaga
2014,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304.0,FORD MUSTANG,2025-04-24,motokar,blue,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-02,motokar,white,petrol,Selangor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-02,motokar,blue,petrol,Selangor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-02,motokar,white,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-03,motokar,black,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-03,motokar,white,petrol,Melaka
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-04,motokar,white,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-06,motokar,blue,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-06,motokar,white,petrol,Selangor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-06,motokar,blue,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-06,motokar,white,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-06,motokar,blue,petrol,Kelantan
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-07,motokar,white,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-07,motokar,black,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-07,motokar,white,petrol,Selangor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-07,motokar,black,petrol,Kelantan
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-08,motokar,black,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-08,motokar,white,petrol,Sarawak
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-08,motokar,grey,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-08,motokar,white,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-08,motokar,black,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-08,motokar,blue,petrol,Johor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-10,motokar,blue,petrol,Johor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-10,motokar,grey,petrol,Johor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-10,motokar,blue,hybrid_petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-10,motokar,white,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-10,motokar,blue,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-10,motokar,white,petrol,Johor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-10,motokar,blue,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-13,motokar,maroon,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-13,motokar,blue,hybrid_petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-13,motokar,white,petrol,Selangor
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-13,motokar,white,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-13,motokar,red,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-13,motokar,blue,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-13,motokar,white,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-14,motokar,white,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-14,motokar,blue,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-14,motokar,black,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-14,motokar,grey,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-14,motokar,white,petrol,Pulau Pinang
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-14,motokar,blue,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-14,motokar,white,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,white,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,blue,hybrid_petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,white,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,blue,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,red,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,black,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,blue,hybrid_petrol,Kedah
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,blue,petrol,W.P. Kuala Lumpur
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-15,motokar,grey,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-16,motokar,white,hybrid_petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-16,motokar,red,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-16,motokar,white,petrol,Rakan Niaga
2014,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.0,7.0,40,161.0,HONDA CIVIC,2025-01-16,motokar,grey,petrol,Johor
